ticker,permno,date,prc,ret,vwretd
GOOGL,90319,2023-10-31,124.08,-0.051811,-0.028865
GOOGL,90319,2023-11-30,132.53,0.068101,0.092053
GOOGL,90319,2023-12-29,139.69,0.054026,0.053604
GOOGL,90319,2024-01-31,140.10001,0.002935,0.007561
GOOGL,90319,2024-02-29,138.46001,-0.011706,0.050584
GOOGL,90319,2024-03-28,150.92999,0.090062,0.03245
GOOGL,90319,2024-04-30,162.78,0.078513,-0.042724
GOOGL,90319,2024-05-31,172.5,0.059713,0.046553
GOOGL,90319,2024-06-28,182.14999,0.057101,0.026073
GOOGL,90319,2024-07-31,171.53999,-0.058249,0.019878
GOOGL,90319,2024-08-30,163.38,-0.047569,0.021572
GOOGL,90319,2024-09-30,165.85001,0.016342,0.020969
GOOGL,90319,2024-10-31,171.11,0.031715,-0.008298
GOOGL,90319,2024-11-29,168.95,-0.012624,0.064855
GOOGL,90319,2024-12-31,189.3,0.121634,-0.031582
META,13407,2020-01-31,201.91,-0.016273,-0.001728
META,13407,2020-02-28,192.47,-0.046754,-0.077918
META,13407,2020-03-31,166.8,-0.133371,-0.141733
META,13407,2020-04-30,204.71001,0.227278,0.129674
META,13407,2020-05-29,225.09,0.099555,0.053739
META,13407,2020-06-30,227.07001,0.008797,0.025299
META,13407,2020-07-31,253.67,0.117144,0.055532
META,13407,2020-08-31,293.20001,0.155832,0.068442
META,13407,2020-09-30,261.89999,-0.106753,-0.035056
META,13407,2020-10-30,263.10999,0.00462,-0.020178
META,13407,2020-11-30,276.97,0.052678,0.123707
META,13407,2020-12-31,273.16,-0.013756,0.045048
META,13407,2021-01-29,258.32999,-0.054291,-0.000631
META,13407,2021-02-26,257.62,-0.002748,0.029196
META,13407,2021-03-31,294.53,0.143273,0.030573
META,13407,2021-04-30,325.07999,0.103725,0.04819
META,13407,2021-05-28,328.73001,0.011228,0.007092
META,13407,2021-06-30,347.70999,0.057737,0.023422
META,13407,2021-07-30,356.29999,0.024705,0.011828
META,13407,2021-08-31,379.38,0.064777,0.027146
META,13407,2021-09-30,339.39001,-0.105409,-0.042243
META,13407,2021-10-29,323.57001,-0.046613,0.064651
META,13407,2021-11-30,324.45999,0.002751,-0.018351
META,13407,2021-12-31,336.35001,0.036646,0.033341
META,13407,2022-01-31,313.26001,-0.068649,-0.059823
META,13407,2022-02-28,211.03,-0.326342,-0.021838
META,13407,2022-03-31,222.36,0.053689,0.030506
META,13407,2022-04-29,200.47,-0.098444,-0.089387
META,13407,2022-05-31,193.64,-0.03407,-0.002113
META,13407,2022-06-30,161.25,-0.167269,-0.083998
META,13407,2022-07-29,159.10001,-0.013333,0.090351
META,13407,2022-08-31,162.92999,0.024073,-0.036233
META,13407,2022-09-30,135.67999,-0.16725,-0.091323
META,13407,2022-10-31,93.16,-0.313384,0.077394
META,13407,2022-11-30,118.1,0.267711,0.052354
META,13407,2022-12-30,120.34,0.018967,-0.05712
META,13407,2023-01-31,148.97,0.237909,0.071823
META,13407,2023-02-28,174.94,0.17433,-0.024666
META,13407,2023-03-31,211.94,0.211501,0.02395
META,13407,2023-04-28,240.32001,0.133906,0.008976
META,13407,2023-05-31,264.72,0.101531,0.000708
META,13407,2023-06-30,286.98001,0.084089,0.066183
META,13407,2023-07-31,318.60001,0.110182,0.035618
META,13407,2023-08-31,295.89001,-0.071281,-0.020608
META,13407,2023-09-29,300.20999,0.0146,-0.047391
META,13407,2023-10-31,301.26999,0.003531,-0.028865
META,13407,2023-11-30,327.14999,0.085903,0.092053
META,13407,2023-12-29,353.95999,0.08195,0.053604
META,13407,2024-01-31,390.14001,0.102215,0.007561
META,13407,2024-02-29,490.13,0.257574,0.050584
META,13407,2024-03-28,485.57999,-0.009283,0.03245
META,13407,2024-04-30,430.17001,-0.114111,-0.042724
META,13407,2024-05-31,466.82999,0.085222,0.046553
META,13407,2024-06-28,504.22,0.081165,0.026073
META,13407,2024-07-31,474.82999,-0.058288,0.019878
META,13407,2024-08-30,521.31,0.097888,0.021572
META,13407,2024-09-30,572.44,0.099039,0.020969
META,13407,2024-10-31,567.58002,-0.00849,-0.008298
META,13407,2024-11-29,574.32001,0.011875,0.064855
META,13407,2024-12-31,585.51001,0.020355,-0.031582
MSFT,10107,2020-01-31,170.23,0.079455,-0.001728
MSFT,10107,2020-02-28,162.00999,-0.045292,-0.077918
MSFT,10107,2020-03-31,157.71001,-0.026542,-0.141733
MSFT,10107,2020-04-30,179.21001,0.136326,0.129674
MSFT,10107,2020-05-29,183.25,0.025389,0.053739
MSFT,10107,2020-06-30,203.50999,0.110559,0.025299
MSFT,10107,2020-07-31,205.00999,0.007371,0.055532
MSFT,10107,2020-08-31,225.53,0.10258,0.068442
MSFT,10107,2020-09-30,210.33,-0.067397,-0.035056
MSFT,10107,2020-10-30,202.47,-0.03737,-0.020178
MSFT,10107,2020-11-30,214.07001,0.060058,0.123707
MSFT,10107,2020-12-31,222.42,0.039006,0.045048
MSFT,10107,2021-01-29,231.96001,0.042892,-0.000631
MSFT,10107,2021-02-26,232.38,0.004225,0.029196
MSFT,10107,2021-03-31,235.77,0.014588,0.030573
MSFT,10107,2021-04-30,252.17999,0.069602,0.04819
MSFT,10107,2021-05-28,249.67999,-0.007693,0.007092
MSFT,10107,2021-06-30,270.89999,0.084989,0.023422
MSFT,10107,2021-07-30,284.91,0.051717,0.011828
MSFT,10107,2021-08-31,301.88,0.061528,0.027146
MSFT,10107,2021-09-30,281.92001,-0.066119,-0.042243
MSFT,10107,2021-10-29,331.62,0.176291,0.064651
MSFT,10107,2021-11-30,330.59,-0.001236,-0.018351
MSFT,10107,2021-12-31,336.32001,0.017333,0.033341
MSFT,10107,2022-01-31,310.98001,-0.075345,-0.059823
MSFT,10107,2022-02-28,298.79001,-0.037205,-0.021838
MSFT,10107,2022-03-31,308.31,0.031862,0.030506
MSFT,10107,2022-04-29,277.51999,-0.099867,-0.089387
MSFT,10107,2022-05-31,271.87,-0.018125,-0.002113
MSFT,10107,2022-06-30,256.82999,-0.055321,-0.083998
MSFT,10107,2022-07-29,280.73999,0.093097,0.090351
MSFT,10107,2022-08-31,261.47,-0.066432,-0.036233
MSFT,10107,2022-09-30,232.89999,-0.109267,-0.091323
MSFT,10107,2022-10-31,232.13,-0.003306,0.077394
MSFT,10107,2022-11-30,255.14,0.102055,0.052354
MSFT,10107,2022-12-30,239.82001,-0.060045,-0.05712
MSFT,10107,2023-01-31,247.81,0.033317,0.071823
MSFT,10107,2023-02-28,249.42,0.009241,-0.024666
MSFT,10107,2023-03-31,288.29999,0.155882,0.02395
MSFT,10107,2023-04-28,307.26001,0.065765,0.008976
MSFT,10107,2023-05-31,328.39001,0.070982,0.000708
MSFT,10107,2023-06-30,340.54001,0.036999,0.066183
MSFT,10107,2023-07-31,335.92001,-0.013567,0.035618
MSFT,10107,2023-08-31,327.76001,-0.022267,-0.020608
MSFT,10107,2023-09-29,315.75,-0.036643,-0.047391
MSFT,10107,2023-10-31,338.10999,0.070816,-0.028865
MSFT,10107,2023-11-30,378.91,0.122889,0.092053
MSFT,10107,2023-12-29,376.04001,-0.007574,0.053604
MSFT,10107,2024-01-31,397.57999,0.057281,0.007561
MSFT,10107,2024-02-29,413.64001,0.042281,0.050584
MSFT,10107,2024-03-28,420.72,0.017116,0.03245
MSFT,10107,2024-04-30,389.32999,-0.07461,-0.042724
MSFT,10107,2024-05-31,415.13,0.068194,0.046553
MSFT,10107,2024-06-28,446.95001,0.076651,0.026073
MSFT,10107,2024-07-31,418.35001,-0.063989,0.019878
MSFT,10107,2024-08-30,417.14001,-0.0011,0.021572
MSFT,10107,2024-09-30,430.29999,0.031548,0.020969
MSFT,10107,2024-10-31,406.35001,-0.055659,-0.008298
MSFT,10107,2024-11-29,423.45999,0.044149,0.064855
MSFT,10107,2024-12-31,421.5,-0.004629,-0.031582
TSLA,93436,2020-01-31,650.57001,0.55516,-0.001728
TSLA,93436,2020-02-28,667.98999,0.026777,-0.077918
TSLA,93436,2020-03-31,524.0,-0.215557,-0.141733
TSLA,93436,2020-04-30,781.88,0.492137,0.129674
TSLA,93436,2020-05-29,835.0,0.067939,0.053739
TSLA,93436,2020-06-30,1079.81006,0.293186,0.025299
TSLA,93436,2020-07-31,1430.76001,0.325011,0.055532
TSLA,93436,2020-08-31,498.32001,0.741452,0.068442
TSLA,93436,2020-09-30,429.01001,-0.139087,-0.035056
TSLA,93436,2020-10-30,388.04001,-0.095499,-0.020178
TSLA,93436,2020-11-30,567.59998,0.462736,0.123707
TSLA,93436,2020-12-31,705.66998,0.243252,0.045048
TSLA,93436,2021-01-29,793.53003,0.124506,-0.000631
TSLA,93436,2021-02-26,675.5,-0.14874,0.029196
TSLA,93436,2021-03-31,667.92999,-0.011207,0.030573
TSLA,93436,2021-04-30,709.44,0.062147,0.04819
TSLA,93436,2021-05-28,625.21997,-0.118713,0.007092
TSLA,93436,2021-06-30,679.70001,0.087137,0.023422
TSLA,93436,2021-07-30,687.20001,0.011034,0.011828
TSLA,93436,2021-08-31,735.71997,0.070605,0.027146
TSLA,93436,2021-09-30,775.47998,0.054042,-0.042243
TSLA,93436,2021-10-29,1114.0,0.43653,0.064651
TSLA,93436,2021-11-30,1144.76001,0.027612,-0.018351
TSLA,93436,2021-12-31,1056.78003,-0.076855,0.033341
TSLA,93436,2022-01-31,936.71997,-0.113609,-0.059823
TSLA,93436,2022-02-28,870.42999,-0.070768,-0.021838
TSLA,93436,2022-03-31,1077.59998,0.238009,0.030506
TSLA,93436,2022-04-29,870.76001,-0.191945,-0.089387
TSLA,93436,2022-05-31,758.26001,-0.129197,-0.002113
TSLA,93436,2022-06-30,673.41998,-0.111888,-0.083998
TSLA,93436,2022-07-29,891.45001,0.323765,0.090351
TSLA,93436,2022-08-31,275.60999,-0.072489,-0.036233
TSLA,93436,2022-09-30,265.25,-0.037589,-0.091323
