ticker,permno,date,prc,ret,vwretd,normalized_stock_return,normalized_market_return
AMZN,84788,2023-12-29,151.94,0.040044,0.053604,164.4518523268234,148.8937808252654
AMZN,84788,2024-01-31,155.2,0.021456,0.007561,167.9803312703477,150.0195667020852
AMZN,84788,2024-02-29,176.75999,0.138918,0.050584,191.31582292976188,157.6081564641435
AMZN,84788,2024-03-28,180.38,0.02048,0.03245,195.2339709833634,162.72254114140495
AMZN,84788,2024-04-30,175.0,-0.029826,-0.042724,189.41092256481363,155.77038329367957
AMZN,84788,2024-05-31,176.44,0.008229,0.046553,190.9695850465995,163.02196194715023
AMZN,84788,2024-06-28,193.25,0.095273,0.026073,209.16383032274416,167.2724335609983
AMZN,84788,2024-07-31,186.98,-0.032445,0.019878,202.3775098479227,170.59747499532384
AMZN,84788,2024-08-30,178.5,-0.045352,0.021572,193.19928502129972,174.27760372592294
AMZN,84788,2024-09-30,186.33,0.043866,0.020969,201.674164858044,177.93203079845182
AMZN,84788,2024-10-31,186.39999,0.000376,-0.008298,201.74999434403063,176.45555080688627
AMZN,84788,2024-11-29,207.89,0.11529,0.064855,225.0097511919539,187.89957555446688
AMZN,84788,2024-12-31,219.39,0.055318,-0.031582,237.4568406083904,181.96533115930572
GOOGL,90319,2020-01-31,1432.78003,0.069726,-0.001728,106.9726,99.8272
GOOGL,90319,2020-02-28,1339.25,-0.065279,-0.077918,99.9895356446,92.0488642304
GOOGL,90319,2020-03-31,1161.94995,-0.132388,-0.141733,86.7521209996827,79.00250255643272
GOOGL,90319,2020-04-30,1346.69995,0.159,0.129674,100.54570823863224,89.24707307293558
GOOGL,90319,2020-05-29,1433.52002,0.064469,0.053739,107.02778950306862,94.04312153280206
GOOGL,90319,2020-06-30,1418.05005,-0.010792,0.025299,105.87274559875151,96.42231846446042
GOOGL,90319,2020-07-31,1487.94995,0.049293,0.055532,111.09153084755077,101.77684265342883
GOOGL,90319,2020-08-31,1629.53003,0.095151,0.068442,121.66200109922607,108.74265331831484
GOOGL,90319,2020-09-30,1465.59998,-0.1006,-0.035056,109.42280378864393,104.93057086358799
GOOGL,90319,2020-10-30,1616.10999,0.102695,-0.020178,120.65997862371871,102.81328180470251
GOOGL,90319,2020-11-30,1754.40002,0.08557,0.123707,130.98485299455032,115.53200445691685
GOOGL,90319,2020-12-31,1752.64001,-0.001003,0.045048,130.8534751869968,120.73649019369203
GOOGL,90319,2021-01-29,1827.35999,0.042633,-0.000631,136.43215139464402,120.6603054683798
GOOGL,90319,2021-02-26,2021.91003,0.106465,0.029196,150.9574003928748,124.1831037468346
